Titulo;E-ISSN;P-ISSN;Institución;Editora
Boletín de Historia Argentina y Americana Dr. Emilio Ravignani;1850-2563;0524-9767;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Historia Argentina y Americana Dr. Emilio Ravignani;Universidad de Buenos Aires
REVCOM;2451-7836;null;Asociación Civil Red de Carreras de Comunicación Social y Periodismo;Asociación Civil Red de Carreras de Comunicación Social y Periodismo
Memoria Americana;1851-3751;0327-5752;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Ciencias Antropológicas, Sección Etnohistoria;Universidad de Buenos Aires
Revista Industrial y Agrícola de Tucumán;1851-3018;0370-5404;Estación Experimental Agroindustrial Obi;Leonardo Daniel Ploper
Argumentos : Revista de Crítica Social;1666-8979;null;Universidad de Buenos Aires. Facultad de Ciencias Sociales. Instituto de Investigaciones Gino Germani;Instituto de Investigaciones Gino Germani, Facultad de Ciencias Sociales, Universidad de Buenos Aires
Olivar: Revista de Literatura y Cultura Españolas;1852-4478;1515-1115;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación, Secretaría de Investigación, Centro de Estudios de Teoría y Crítica Literaria;Universidad Nacional de La Plata
Información, Cultura y Sociedad;1851-1740;1514-8327;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Investigaciones Bibliotecológicas;Universidad de Buenos Aires
Revista de Enseñanza de la Física;2250-6101;0326-7091;Asociación de Profesores de Física de la Argentina;Asociación de Profesores de Física de Argentina
Revista Abierta de Informática Aplicada;2591-5320;null;Universidad Abierta Interamericana, Fundación Iberoamericana de Estudios Superiores;Universidad Abierta Interamericana
Actualidad Económica;2250-754X;0327-585X;Universidad Nacional de Córdoba, Facultad de Ciencias Económicas, Instituto de Economía y Finanzas;Universidad Nacional de Córdoba
Paraguay desde las Ciencias Sociales;2314-1638;null;Universidad de Buenos Aires, Instituto de Estudios de América Latina y el Caribe;Universidad de Buenos Aires
Rey Desnudo: Revista de Libros;2314-1204;null;null;Rey Desnudo
Heterotopías;2618-2726;null;Universidad Nacional de Córdoba;Universidad Nacional de Córdoba
Revista Latinoamericana de Metodologia de la Investigacion Social;1853-6190;null;Ciudad Autónoma de Buenos Aires;Estudios Sociologicos Editora
1991. Revista de Estudios Internacionales;2683-720X;null;Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS) - Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad Nacional de Córdoba (UNC);CEA Unidad Ejecutora CONICET-UNC (20730)
Revista Argentina de Salud Pública;1853-810X;1852-8724;null;Ministerio de Salud
Agronomía & Ambiente;2344-9039;2314-2243;Universidad de Buenos Aires, Facultad de Agronomía;Universidad de Buenos Aires
Punto Sur;2683-7404;null;Instituto de Geografía Dr. Romualdo Ardissone;Facultad de Filosofía y Letras, Universidad de Buenos Aires
Meteorologica;1850-468X;0325-187X;null;Centro Argentino de Meteorólogos
SaberEs;1852-4222;1852-4184;Universidad Nacional de Rosario, Facultad de Ciencias Económicas y Estadística;Universidad Nacional de Rosario
Revista UCES D.G. "Enseñanza y Aprendizaje del Diseño;2344-9551;null;null;Universidad de Ciencias Empresariales y Sociales
Praxis Educativa;2313-934X;0328-9702;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas, Instituto de Ciencias de la Educación;Universidad Nacional de La Pampa
Cuadernos Medievales;2451-6821;null;Facultad de Humanidades;Universidad Nacional de Mar del Plata
Revista Latinoamericana de Metodología de las Ciencias Sociales;1853-7863;null;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación, Centro Interdisciplinario de Metodología de las Ciencias Sociales;Universidad Nacional de La Plata
Revista de Ciencias Empresariales;2468-9807;2468-9785;Córdoba Management School, Universidad Blas Pascal;Universidad Blas Pascal
Characteristica Universalis Journal;2313-9501;null;null;Centro de Filosofía Clásica Alemana
Población & Sociedad;1852-8562;0328-3445;null;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas
Estudios del ISHiR;2250-4397;null;null;Consejo de Investigaciones Científicas y Técnicas Investigaciones Socio-Históricas Regionales
Revista de la Red de Intercátedras de Historia de América Latina Contemporánea;2250-7264;null;Universidad Nacional de Córdoba, Facultad de Filosofía, Escuela de Historia de América;Universidad Nacional de Córdoba
Revista de la Unión Matemática Argentina;1669-9637;0041-6932;Unión Matemática Argentina;Unión Matemática Argentina
